fips_ipeds,min(dif_white),max(dif_white),median(dif_white),mean(dif_white),sd(dif_white),min(dif_hispa),max(dif_hispa),median(dif_hispa),mean(dif_hispa),sd(dif_hispa),min(dif_black),max(dif_black),median(dif_black),mean(dif_black),sd(dif_black),min(dif_asian),max(dif_asian),median(dif_asian),mean(dif_asian),sd(dif_asian),min(dif_amind),max(dif_amind),median(dif_amind),mean(dif_amind),sd(dif_amind),min(dif_pacis),max(dif_pacis),median(dif_pacis),mean(dif_pacis),sd(dif_pacis),min(dif_twora),max(dif_twora),median(dif_twora),mean(dif_twora),sd(dif_twora)
34,North Carolina,-56.85655,31.45083,0.1741886,-7.21341103934426,25.5063316414923,-13.49685,5.924109,-4.294403,-4.60211645081967,4.025252497626,-21.41336,73.70798,-3.464956,9.15895536065574,27.7471458217284,-4.497508,16.07982,-1.013756,-0.628723550819672,2.86355396788228,-1.530908,14.36673,-0.5748848,-0.121685016393443,2.00969907178801,-0.2084886,2.27314,-0.0263092,0.0683343704918033,0.372793599039268,-3.517068,5.660336,-0.1251094,-0.310762093442623,1.85975353949899
35,North Dakota,-7.406366,24.10032,-3.19019,0.366859111111111,9.7695868118319,-12.73943,3.103197,-0.1456875,-0.816834133333333,4.83786309283264,-10.30761,2.715195,0.1068685,-0.599250622222222,3.90633104952182,-4.343328,0.4455839,-1.670825,-1.64426061111111,1.49424444176886,-10.36455,-0.4249481,-1.349784,-3.20020424444444,3.79071892406558,-0.092904,1.01919,0.2265319,0.301705388888889,0.350110552576141,-3.753396,3.860507,0.9177884,0.776057411111111,2.00380498805511
36,Ohio,-74.4343,36.82339,2.978915,-0.0741180605633802,21.2928831480189,-18.8875,20.30827,-1.326927,-3.19337418873239,6.18793635110248,-18.88465,81.18639,-5.355052,-1.15951972535211,16.8454238665908,-3.889376,15.60456,-1.497535,-0.934777263380282,2.64403165471221,-0.8953819,0.5845506,-0.0690234,-0.103561867605634,0.379930313274597,-0.2084886,0.5239531,-0.0280519,0.00876603943661972,0.137683980813355,-3.753396,3.922585,-0.3694016,-0.556503401408451,1.54377035620687
37,Oklahoma,-50.20694,22.24448,1.036948,-1.975977612,16.6148210893865,-17.83045,14.189,-3.116479,-4.266513132,6.0134240338436,-8.807061,61.17602,-4.10757,1.432944964,14.3676570938512,-3.879062,3.696406,-1.879673,-1.166663224,1.77785827519226,-7.23023,18.28623,0.3833942,0.603583408,5.14716226110038,-0.216084,0.8333473,-0.0060553,0.0578569,0.261735228006596,-6.522898,10.37228,-0.1371838,0.507045076,4.81832865699431
38,Oregon,-39.76014,19.36938,1.27809,-0.64611141724138,14.2732288648411,-15.54558,29.77737,-4.630888,-3.72181289310345,8.98425677994653,-12.74422,11.62634,-0.5951189,-1.41888176551724,5.07395529803041,-5.594763,8.15244,-0.8924521,0.0570018896551724,3.45071113538256,-1.115381,2.578815,-0.4105188,-0.137581182758621,0.768502912639644,-1.103813,8.670095,0.0731213,0.512113382758621,1.80487992486674,-7.083712,5.698568,0.9967275,0.663258762068966,3.19120042152828
39,Pennsylvania,-60.06807,53.15924,6.367749,6.9157735128,17.9276864741025,-19.66931,4.450894,-6.280522,-6.6048891912,5.90833295001667,-19.42892,68.19685,-5.427563,-2.7697804496,12.6106822543188,-7.429344,30.79145,-1.877402,-0.730659172,5.57141239603088,-0.8953819,2.835506,-0.1058047,-0.148344296,0.475426350654312,-0.2084886,0.5689523,0.0055708,0.0149662864,0.136274093305617,-3.182398,7.819951,-0.2189621,-0.3052067032,1.60308774107071
40,Rhode Island,-19.44138,30.91662,12.51022,9.40374955555556,18.6384751962704,-13.47032,2.744973,-10.28369,-8.44114011111111,5.6416525721961,-12.23139,5.037838,-9.852028,-6.388092,6.47621226464499,-4.16013,14.06598,-1.694433,0.416726888888889,6.68534849307989,-0.74356,0.1121288,-0.5764489,-0.466091044444444,0.292680043520399,-0.2084886,0.1156202,-0.0444244,-0.0612521555555556,0.0919002725282835,-2.44867,2.288583,-1.2071,-0.542645333333333,1.863086666357
41,South Carolina,-51.42698,29.01723,3.22699,-4.07359653783784,27.6389528116031,-15.76289,0.7148027,-4.000603,-4.09492814594595,3.58284481491155,-28.45269,65.04879,-4.034445,5.14730956756757,30.3739477274748,-3.435966,1.601073,-1.106181,-1.03372746756757,1.22427651167007,-1.329275,1.662381,0.0197878,0.046744072972973,0.535068412033735,-0.2084886,2.558354,-0.0014349,0.123114789189189,0.463700771053704,-2.936056,3.28722,0.2689585,-0.260996716216216,1.89490633922646
42,South Dakota,-31.61451,34.17692,4.78571,1.87590147692308,14.9575117705923,-17.12407,1.815609,-0.5729124,-2.56035802307692,5.2178544723333,-11.81929,31.23993,-0.0090424,3.27937833076923,10.2743872470757,-3.663206,1.850414,-0.9774113,-1.09477775384615,1.24293628268553,-8.552356,1.451209,-2.874702,-3.35940040769231,2.76111661601247,-0.2101977,1.01857,0.0246909,0.107770830769231,0.310940571092501,-4.944571,2.445144,0.0883382,-0.480462430769231,2.21905347242254
43,Tennessee,-70.13889,34.49958,0.9647099,-2.87500053958333,25.5203987951816,-18.66925,13.30758,-3.0229135,-3.77304388125,5.91173208586731,-19.73779,82.92153,-2.8510205,3.84442947083333,23.8570032270844,-4.103191,8.478861,-0.72318335,-0.220283004166667,2.50205865711226,-0.7765465,1.953778,-0.03849035,0.01978951875,0.489117105983776,-0.2084886,0.7865036,-0.04373085,0.01189945625,0.194885446503792,-3.753396,5.646789,-0.6549601,-0.357033464583333,1.86386598148549
44,Texas,-49.16039,33.96399,1.278034,-0.593861655913978,17.378206135635,-29.48697,28.84686,-7.733292,-6.14557404193548,11.6875443617035,-14.19756,67.83484,0.119862,5.22817829032258,18.8034859440646,-4.489868,27.27292,-0.7778845,0.986725183870968,6.02316050586191,-0.9646176,5.085124,-0.2592496,-0.107062396774194,0.7140067776258,-0.2084886,2.037356,0.0450686,0.160797274193548,0.370956332859589,-3.481146,4.37099,-0.060855,-0.378661248387097,1.88188283302105
45,Utah,-26.38894,31.72951,3.683031,3.04835546923077,16.473513656302,-13.90464,0.2844274,-4.76125,-5.49034450769231,4.00383488763933,-13.47196,7.095088,0.1361656,-1.11644932307692,5.60947614164144,-3.120742,3.115972,-1.390603,-1.00894472307692,1.72990387790227,-0.7399654,2.756538,-0.205471,0.0868804769230769,0.989246898705164,-0.6979184,3.623903,-0.1075748,0.2954696,1.16610912064217,-3.663485,9.126503,0.2807986,0.531622292307692,3.4029691461574
46,Vermont,-18.44075,32.7211,-4.070199,0.469940093333333,15.1291269735547,-17.04138,4.207556,-7.062117,-5.19535627333333,6.78914998320033,-11.88718,20.62381,-2.76971,-2.24130524666667,7.95057436065577,-5.692858,1.385133,-3.126179,-2.63479972666667,2.00376329721302,-0.8558874,4.781697,0.1909283,0.42873956,1.35220700502976,-0.2084886,0.2049237,-0.0416654,-0.0173652533333333,0.122075615694014,-2.379001,5.083859,0.8279625,0.53550346,2.11408163985433
47,Virginia,-50.55757,36.2235,1.519501,-2.45826445283019,21.1174788865495,-15.37432,6.090342,-3.120194,-2.68309083962264,4.15502331230092,-23.75714,66.4978,-6.376113,0.977272041509434,20.5201408228195,-5.745479,14.58788,-1.59016,-0.597075054716981,3.9258449176217,-0.8953819,3.005899,0.0152311,0.159517796226415,0.636401143015581,-0.2084886,2.762596,0.0474868,0.229299469811321,0.541242514385618,-4.658852,4.981728,0.0575218,-0.318843583018868,2.2518267760836
48,Washington,-40.35025,21.57813,3.755356,-3.57245035714286,17.8660962199007,-12.59346,53.13476,-5.630498,-3.02190000714286,11.8810419186697,-12.78882,24.37194,-1.0864589,-1.64385756428571,7.45805725357536,-7.905107,16.9705,-0.03166465,0.435175071428572,6.90107971186151,-1.118797,6.352794,-0.54725445,0.0944232535714286,1.62770514128248,-1.0135,3.730332,0.1170938,0.25708095,1.14879641108216,-7.924057,4.970742,0.70702965,-0.280100789285714,3.58220434649479
49,West Virginia,-39.53154,18.33642,-11.07437,-11.7532739,12.8592503828321,-4.874737,6.57822,0.13680535,0.152878775,2.1844920989553,-11.47968,15.02471,0.74661615,1.88017816,5.86965215957026,-3.490343,0.908594,-0.84145485,-0.948245155,1.13272488286474,-0.2466808,1.662694,0.2142307,0.36388972,0.472105075146538,-0.077599,1.819887,0.0436469,0.180862905,0.417078998004845,-3.594526,5.188693,-0.00871834999999999,-0.13048222,2.19943699267037
50,Wisconsin,-18.12807,37.08044,13.97365,11.9937350205128,13.3721868582681,-18.37266,6.987328,-4.913814,-6.34872285128205,6.39048818746725,-14.20902,13.27886,-5.808337,-4.87991765128205,5.37633841114811,-4.283302,2.683516,-1.093639,-0.863867797435897,1.89278656606784,-0.7741469,2.011287,-0.2047859,-0.100110828205128,0.572845184459729,-0.2841057,1.681099,-0.006213,0.048201858974359,0.295040693818315,-2.771316,1.98824,-0.181729,-0.313090251282051,1.21956870444266
51,Wyoming,-5.08666,-5.08666,-5.08666,-5.08666,NA,-4.829254,-4.829254,-4.829254,-4.829254,NA,-0.8784594,-0.8784594,-0.8784594,-0.8784594,NA,0.0446049,0.0446049,0.0446049,0.0446049,NA,-2.045829,-2.045829,-2.045829,-2.045829,NA,-0.3640073,-0.3640073,-0.3640073,-0.3640073,NA,0.5708862,0.5708862,0.5708862,0.5708862,NA
